# Time,       mechanicalVelocity,           shiftVelocity
0.000000,  0.000000,  0.000000
0.000004,  0.000065,  0.000012
0.000008,  0.000061,  0.000034
0.000013,  0.000060,  0.000047
0.000017,  0.000059,  0.000055
0.000021,  0.000058,  0.000060
0.000025,  0.000058,  0.000063
0.000029,  0.000058,  0.000065
0.000033,  0.000058,  0.000066
0.000038,  0.000058,  0.000066
0.000042,  0.000058,  0.000066
0.000046,  0.000058,  0.000066
0.000050,  0.000058,  0.000066
0.000054,  0.000058,  0.000065
0.000058,  0.000058,  0.000065
0.000063,  0.000058,  0.000065
0.000067,  0.000058,  0.000064
0.000071,  0.000058,  0.000064
0.000075,  0.000058,  0.000063
0.000079,  0.000058,  0.000063
0.000083,  0.000058,  0.000062
0.000088,  0.000059,  0.000062
0.000092,  0.000059,  0.000061
0.000096,  0.000059,  0.000061
0.000100,  0.000059,  0.000061
0.000104,  0.000059,  0.000060
0.000108,  0.000059,  0.000060
0.000113,  0.000059,  0.000059
0.000117,  0.000059,  0.000059
0.000121,  0.000059,  0.000059
0.000125,  0.000059,  0.000058
0.000129,  0.000059,  0.000058
0.000133,  0.000059,  0.000058
0.000138,  0.000059,  0.000057
0.000142,  0.000059,  0.000057
0.000146,  0.000059,  0.000057
0.000150,  0.000059,  0.000056
0.000154,  0.000059,  0.000056
0.000158,  0.000059,  0.000056
0.000163,  0.000059,  0.000056
0.000167,  0.000059,  0.000055
0.000171,  0.000059,  0.000055
0.000175,  0.000059,  0.000055
0.000179,  0.000060,  0.000055
0.000183,  0.000060,  0.000055
0.000188,  0.000060,  0.000055
0.000192,  0.000060,  0.000054
0.000196,  0.000060,  0.000054
0.000200,  0.000060,  0.000054
0.000204,  0.000060,  0.000054
0.000208,  0.000060,  0.000054
0.000213,  0.000060,  0.000054
0.000217,  0.000060,  0.000054
0.000221,  0.000060,  0.000053
0.000225,  0.000060,  0.000053
0.000229,  0.000060,  0.000053
0.000233,  0.000060,  0.000053
0.000238,  0.000060,  0.000053
0.000242,  0.000060,  0.000053
0.000246,  0.000060,  0.000053
0.000250,  0.000060,  0.000053
0.000254,  0.000060,  0.000053
0.000258,  0.000060,  0.000053
0.000263,  0.000060,  0.000053
0.000267,  0.000060,  0.000053
0.000271,  0.000060,  0.000053
0.000275,  0.000060,  0.000053
0.000279,  0.000060,  0.000053
0.000283,  0.000060,  0.000053
0.000288,  0.000060,  0.000053
0.000292,  0.000060,  0.000053
0.000296,  0.000060,  0.000053
0.000300,  0.000060,  0.000053
0.000304,  0.000060,  0.000052
0.000308,  0.000060,  0.000052
0.000313,  0.000060,  0.000052
0.000317,  0.000060,  0.000052
0.000321,  0.000060,  0.000052
0.000325,  0.000060,  0.000052
0.000329,  0.000060,  0.000052
0.000333,  0.000060,  0.000052
0.000338,  0.000060,  0.000052
0.000342,  0.000060,  0.000052
0.000346,  0.000060,  0.000053
0.000350,  0.000060,  0.000053
0.000354,  0.000060,  0.000053
0.000358,  0.000060,  0.000053
0.000363,  0.000060,  0.000053
0.000367,  0.000060,  0.000053
0.000371,  0.000060,  0.000053
0.000375,  0.000060,  0.000053
0.000379,  0.000060,  0.000053
0.000383,  0.000060,  0.000053
0.000388,  0.000060,  0.000053
0.000392,  0.000060,  0.000053
0.000396,  0.000060,  0.000053
0.000400,  0.000060,  0.000053
0.000404,  0.000060,  0.000053
0.000408,  0.000060,  0.000053
0.000413,  0.000060,  0.000053
0.000417,  0.000060,  0.000053
0.000421,  0.000060,  0.000053
0.000425,  0.000060,  0.000053
0.000429,  0.000060,  0.000053
0.000433,  0.000061,  0.000053
0.000438,  0.000061,  0.000053
0.000442,  0.000061,  0.000053
0.000446,  0.000061,  0.000053
0.000450,  0.000061,  0.000053
0.000454,  0.000061,  0.000053
0.000458,  0.000061,  0.000053
0.000463,  0.000061,  0.000053
0.000467,  0.000061,  0.000053
0.000471,  0.000061,  0.000053
0.000475,  0.000061,  0.000053
0.000479,  0.000061,  0.000053
0.000483,  0.000061,  0.000053
0.000488,  0.000061,  0.000053
0.000492,  0.000061,  0.000053
0.000496,  0.000061,  0.000053
0.000500,  0.000061,  0.000054
0.000504,  0.000061,  0.000054
0.000508,  0.000061,  0.000054
0.000513,  0.000061,  0.000054
0.000517,  0.000061,  0.000054
0.000521,  0.000061,  0.000054
0.000525,  0.000061,  0.000054
0.000529,  0.000061,  0.000054
0.000533,  0.000061,  0.000054
0.000538,  0.000061,  0.000054
0.000542,  0.000061,  0.000054
0.000546,  0.000061,  0.000054
0.000550,  0.000061,  0.000054
0.000554,  0.000061,  0.000054
0.000558,  0.000061,  0.000054
0.000563,  0.000061,  0.000054
0.000567,  0.000061,  0.000054
0.000571,  0.000061,  0.000054
0.000575,  0.000061,  0.000054
0.000579,  0.000061,  0.000054
0.000583,  0.000061,  0.000054
0.000588,  0.000061,  0.000054
0.000592,  0.000061,  0.000054
0.000596,  0.000061,  0.000054
0.000600,  0.000061,  0.000054
0.000604,  0.000061,  0.000054
0.000608,  0.000061,  0.000054
0.000613,  0.000061,  0.000054
0.000617,  0.000061,  0.000054
0.000621,  0.000061,  0.000054
0.000625,  0.000061,  0.000054
0.000629,  0.000061,  0.000054
0.000633,  0.000061,  0.000054
0.000638,  0.000061,  0.000054
0.000642,  0.000061,  0.000054
0.000646,  0.000061,  0.000055
0.000650,  0.000061,  0.000055
0.000654,  0.000061,  0.000055
0.000658,  0.000061,  0.000055
0.000663,  0.000061,  0.000055
0.000667,  0.000061,  0.000055
0.000671,  0.000061,  0.000055
0.000675,  0.000061,  0.000055
0.000679,  0.000061,  0.000055
0.000683,  0.000061,  0.000055
0.000688,  0.000061,  0.000055
0.000692,  0.000061,  0.000055
0.000696,  0.000061,  0.000055
0.000700,  0.000061,  0.000055
0.000704,  0.000061,  0.000055
0.000708,  0.000061,  0.000055
0.000713,  0.000061,  0.000055
0.000717,  0.000061,  0.000055
0.000721,  0.000061,  0.000055
0.000725,  0.000061,  0.000055
0.000729,  0.000061,  0.000055
0.000733,  0.000061,  0.000055
0.000738,  0.000061,  0.000055
0.000742,  0.000061,  0.000055
0.000746,  0.000061,  0.000055
0.000750,  0.000061,  0.000055
0.000754,  0.000061,  0.000055
0.000758,  0.000061,  0.000055
0.000763,  0.000061,  0.000055
0.000767,  0.000061,  0.000055
0.000771,  0.000061,  0.000055
0.000775,  0.000061,  0.000055
0.000779,  0.000061,  0.000055
0.000783,  0.000061,  0.000055
0.000788,  0.000061,  0.000055
0.000792,  0.000061,  0.000055
0.000796,  0.000061,  0.000055
0.000800,  0.000061,  0.000055
0.000804,  0.000061,  0.000055
0.000808,  0.000061,  0.000055
0.000813,  0.000061,  0.000055
0.000817,  0.000061,  0.000055
0.000821,  0.000061,  0.000055
0.000825,  0.000061,  0.000055
0.000829,  0.000061,  0.000055
0.000833,  0.000061,  0.000055
0.000838,  0.000061,  0.000055
0.000842,  0.000062,  0.000055
0.000846,  0.000062,  0.000055
0.000850,  0.000062,  0.000055
0.000854,  0.000062,  0.000055
0.000858,  0.000062,  0.000055
0.000863,  0.000062,  0.000055
0.000867,  0.000062,  0.000055
0.000871,  0.000062,  0.000055
0.000875,  0.000062,  0.000055
0.000879,  0.000062,  0.000055
0.000883,  0.000062,  0.000055
0.000888,  0.000062,  0.000055
0.000892,  0.000062,  0.000055
0.000896,  0.000062,  0.000055
0.000900,  0.000062,  0.000055
0.000904,  0.000062,  0.000055
0.000908,  0.000062,  0.000055
0.000913,  0.000062,  0.000055
0.000917,  0.000062,  0.000055
0.000921,  0.000062,  0.000055
0.000925,  0.000062,  0.000055
0.000929,  0.000062,  0.000055
0.000933,  0.000062,  0.000055
0.000938,  0.000062,  0.000055
0.000942,  0.000062,  0.000055
0.000946,  0.000062,  0.000055
0.000950,  0.000062,  0.000055
0.000954,  0.000062,  0.000055
0.000958,  0.000062,  0.000055
0.000963,  0.000062,  0.000055
0.000967,  0.000062,  0.000055
0.000971,  0.000062,  0.000055
0.000975,  0.000062,  0.000055
0.000979,  0.000062,  0.000055
0.000983,  0.000062,  0.000055
0.000988,  0.000062,  0.000055
0.000992,  0.000062,  0.000055
0.000996,  0.000062,  0.000055
0.001000,  0.000062,  0.000055
0.001004,  0.000062,  0.000055
0.001008,  0.000062,  0.000055
0.001013,  0.000062,  0.000055
0.001017,  0.000062,  0.000055
0.001021,  0.000062,  0.000055
0.001025,  0.000062,  0.000055
0.001029,  0.000062,  0.000055
0.001033,  0.000062,  0.000055
0.001038,  0.000062,  0.000055
0.001042,  0.000062,  0.000055
0.001046,  0.000062,  0.000055
0.001050,  0.000062,  0.000055
0.001054,  0.000062,  0.000055
0.001058,  0.000062,  0.000055
0.001063,  0.000062,  0.000055
0.001067,  0.000062,  0.000055
0.001071,  0.000062,  0.000055
0.001075,  0.000062,  0.000055
0.001079,  0.000062,  0.000055
0.001083,  0.000062,  0.000055
0.001088,  0.000062,  0.000055
0.001092,  0.000062,  0.000055
0.001096,  0.000062,  0.000055
0.001100,  0.000062,  0.000055
0.001104,  0.000062,  0.000055
0.001108,  0.000062,  0.000055
0.001113,  0.000062,  0.000055
0.001117,  0.000062,  0.000055
0.001121,  0.000062,  0.000055
0.001125,  0.000062,  0.000055
0.001129,  0.000062,  0.000055
0.001133,  0.000062,  0.000055
0.001138,  0.000062,  0.000055
0.001142,  0.000062,  0.000055
0.001146,  0.000062,  0.000055
0.001150,  0.000062,  0.000055
0.001154,  0.000063,  0.000055
0.001158,  0.000063,  0.000055
0.001163,  0.000063,  0.000055
0.001167,  0.000063,  0.000055
0.001171,  0.000063,  0.000055
0.001175,  0.000063,  0.000055
0.001179,  0.000063,  0.000055
0.001183,  0.000063,  0.000055
0.001188,  0.000063,  0.000055
0.001192,  0.000063,  0.000055
0.001196,  0.000063,  0.000055
0.001200,  0.000063,  0.000055
0.001204,  0.000063,  0.000055
0.001208,  0.000063,  0.000055
0.001213,  0.000063,  0.000055
0.001217,  0.000063,  0.000055
0.001221,  0.000063,  0.000055
0.001225,  0.000063,  0.000055
0.001229,  0.000063,  0.000055
0.001233,  0.000063,  0.000055
0.001238,  0.000063,  0.000055
0.001242,  0.000063,  0.000055
0.001246,  0.000063,  0.000055
0.001250,  0.000063,  0.000055
0.001254,  0.000063,  0.000055
0.001258,  0.000063,  0.000055
0.001263,  0.000063,  0.000055
0.001267,  0.000063,  0.000055
0.001271,  0.000063,  0.000055
0.001275,  0.000063,  0.000055
0.001279,  0.000063,  0.000055
0.001283,  0.000063,  0.000055
0.001288,  0.000063,  0.000055
0.001292,  0.000063,  0.000055
0.001296,  0.000063,  0.000055
0.001300,  0.000063,  0.000055
0.001304,  0.000063,  0.000055
0.001308,  0.000063,  0.000055
0.001313,  0.000063,  0.000055
0.001317,  0.000063,  0.000055
0.001321,  0.000063,  0.000055
0.001325,  0.000063,  0.000055
0.001329,  0.000063,  0.000055
0.001333,  0.000063,  0.000055
0.001338,  0.000063,  0.000055
0.001342,  0.000063,  0.000055
0.001346,  0.000063,  0.000055
0.001350,  0.000063,  0.000055
0.001354,  0.000063,  0.000055
0.001358,  0.000063,  0.000055
0.001363,  0.000063,  0.000055
0.001367,  0.000063,  0.000055
0.001371,  0.000063,  0.000055
0.001375,  0.000063,  0.000055
0.001379,  0.000063,  0.000055
0.001383,  0.000063,  0.000055
0.001388,  0.000063,  0.000055
0.001392,  0.000063,  0.000055
0.001396,  0.000063,  0.000055
0.001400,  0.000063,  0.000055
0.001404,  0.000063,  0.000055
0.001408,  0.000063,  0.000055
0.001413,  0.000063,  0.000055
0.001417,  0.000064,  0.000055
0.001421,  0.000064,  0.000055
0.001425,  0.000064,  0.000055
0.001429,  0.000064,  0.000055
0.001433,  0.000064,  0.000055
0.001438,  0.000064,  0.000055
0.001442,  0.000064,  0.000055
0.001446,  0.000064,  0.000055
0.001450,  0.000064,  0.000055
0.001454,  0.000064,  0.000055
0.001458,  0.000064,  0.000055
0.001463,  0.000064,  0.000055
0.001467,  0.000064,  0.000055
0.001471,  0.000064,  0.000055
0.001475,  0.000064,  0.000055
0.001479,  0.000064,  0.000055
0.001483,  0.000064,  0.000055
0.001488,  0.000064,  0.000055
0.001492,  0.000064,  0.000055
0.001496,  0.000064,  0.000055
0.001500,  0.000064,  0.000055
0.001504,  0.000064,  0.000055
0.001508,  0.000064,  0.000055
0.001513,  0.000064,  0.000055
0.001517,  0.000064,  0.000055
0.001521,  0.000064,  0.000055
0.001525,  0.000064,  0.000055
0.001529,  0.000064,  0.000055
0.001533,  0.000064,  0.000055
0.001538,  0.000064,  0.000055
0.001542,  0.000064,  0.000055
0.001546,  0.000064,  0.000055
0.001550,  0.000064,  0.000055
0.001554,  0.000064,  0.000055
0.001558,  0.000064,  0.000055
0.001563,  0.000064,  0.000055
0.001567,  0.000064,  0.000055
0.001571,  0.000064,  0.000055
0.001575,  0.000064,  0.000055
0.001579,  0.000064,  0.000055
0.001583,  0.000064,  0.000055
0.001588,  0.000064,  0.000055
0.001592,  0.000064,  0.000055
0.001596,  0.000064,  0.000055
0.001600,  0.000064,  0.000055
0.001604,  0.000064,  0.000055
0.001608,  0.000064,  0.000055
0.001613,  0.000064,  0.000055
0.001617,  0.000064,  0.000055
0.001621,  0.000064,  0.000055
0.001625,  0.000064,  0.000055
0.001629,  0.000064,  0.000055
0.001633,  0.000064,  0.000055
0.001638,  0.000064,  0.000055
0.001642,  0.000064,  0.000055
0.001646,  0.000065,  0.000054
0.001650,  0.000065,  0.000054
0.001654,  0.000065,  0.000054
0.001658,  0.000065,  0.000054
0.001663,  0.000065,  0.000054
0.001667,  0.000065,  0.000054
0.001671,  0.000065,  0.000054
0.001675,  0.000065,  0.000054
0.001679,  0.000065,  0.000054
0.001683,  0.000065,  0.000054
0.001688,  0.000065,  0.000054
0.001692,  0.000065,  0.000054
0.001696,  0.000065,  0.000054
0.001700,  0.000065,  0.000054
0.001704,  0.000065,  0.000054
0.001708,  0.000065,  0.000054
0.001713,  0.000065,  0.000054
0.001717,  0.000065,  0.000054
0.001721,  0.000065,  0.000054
0.001725,  0.000065,  0.000054
0.001729,  0.000065,  0.000054
0.001733,  0.000065,  0.000054
0.001738,  0.000065,  0.000054
0.001742,  0.000065,  0.000054
0.001746,  0.000065,  0.000054
0.001750,  0.000065,  0.000054
0.001754,  0.000065,  0.000054
0.001758,  0.000065,  0.000054
0.001763,  0.000065,  0.000054
0.001767,  0.000065,  0.000054
0.001771,  0.000065,  0.000054
0.001775,  0.000065,  0.000054
0.001779,  0.000065,  0.000054
0.001783,  0.000065,  0.000054
0.001788,  0.000065,  0.000054
0.001792,  0.000065,  0.000054
0.001796,  0.000065,  0.000054
0.001800,  0.000065,  0.000054
0.001804,  0.000065,  0.000054
0.001808,  0.000065,  0.000054
0.001813,  0.000065,  0.000054
0.001817,  0.000065,  0.000054
0.001821,  0.000065,  0.000054
0.001825,  0.000065,  0.000054
0.001829,  0.000065,  0.000054
0.001833,  0.000065,  0.000054
0.001838,  0.000065,  0.000054
0.001842,  0.000065,  0.000054
0.001846,  0.000065,  0.000054
0.001850,  0.000065,  0.000054
0.001854,  0.000065,  0.000054
0.001858,  0.000066,  0.000054
0.001863,  0.000066,  0.000054
0.001867,  0.000066,  0.000054
0.001871,  0.000066,  0.000054
0.001875,  0.000066,  0.000054
0.001879,  0.000066,  0.000054
0.001883,  0.000066,  0.000054
0.001888,  0.000066,  0.000054
0.001892,  0.000066,  0.000054
0.001896,  0.000066,  0.000054
0.001900,  0.000066,  0.000054
0.001904,  0.000066,  0.000054
0.001908,  0.000066,  0.000054
0.001913,  0.000066,  0.000054
0.001917,  0.000066,  0.000054
0.001921,  0.000066,  0.000054
0.001925,  0.000066,  0.000054
0.001929,  0.000066,  0.000054
0.001933,  0.000066,  0.000054
0.001938,  0.000066,  0.000054
0.001942,  0.000066,  0.000054
0.001946,  0.000066,  0.000054
0.001950,  0.000066,  0.000054
0.001954,  0.000066,  0.000054
0.001958,  0.000066,  0.000054
0.001963,  0.000066,  0.000054
0.001967,  0.000066,  0.000054
0.001971,  0.000066,  0.000054
0.001975,  0.000066,  0.000054
0.001979,  0.000066,  0.000054
0.001983,  0.000066,  0.000054
0.001988,  0.000066,  0.000054
0.001992,  0.000066,  0.000054
0.001996,  0.000066,  0.000054
0.002000,  0.000066,  0.000054
0.002004,  0.000066,  0.000054
0.002008,  0.000066,  0.000054
0.002013,  0.000066,  0.000054
0.002017,  0.000066,  0.000054
0.002021,  0.000066,  0.000054
0.002025,  0.000066,  0.000054
0.002029,  0.000066,  0.000054
0.002033,  0.000066,  0.000054
0.002038,  0.000066,  0.000054
0.002042,  0.000066,  0.000054
0.002046,  0.000066,  0.000054
0.002050,  0.000066,  0.000054
0.002054,  0.000067,  0.000054
0.002058,  0.000067,  0.000053
0.002063,  0.000067,  0.000053
0.002067,  0.000067,  0.000053
0.002071,  0.000067,  0.000053
0.002075,  0.000067,  0.000053
0.002079,  0.000067,  0.000053
0.002083,  0.000067,  0.000053
0.002088,  0.000067,  0.000053
0.002092,  0.000067,  0.000053
0.002096,  0.000067,  0.000053
0.002100,  0.000067,  0.000053
0.002104,  0.000067,  0.000053
0.002108,  0.000067,  0.000053
0.002113,  0.000067,  0.000053
0.002117,  0.000067,  0.000053
0.002121,  0.000067,  0.000053
0.002125,  0.000067,  0.000053
0.002129,  0.000067,  0.000053
0.002133,  0.000067,  0.000053
0.002138,  0.000067,  0.000053
0.002142,  0.000067,  0.000053
0.002146,  0.000067,  0.000053
0.002150,  0.000067,  0.000053
0.002154,  0.000067,  0.000053
0.002158,  0.000067,  0.000053
0.002163,  0.000067,  0.000053
0.002167,  0.000067,  0.000053
0.002171,  0.000067,  0.000053
0.002175,  0.000067,  0.000053
0.002179,  0.000067,  0.000053
0.002183,  0.000067,  0.000053
0.002188,  0.000067,  0.000053
0.002192,  0.000067,  0.000053
